jaanaa,जानाँ
muralii,मुरली
sahibaan,सहिबां
aaya,आईं
chakaraaen,चकराएँ
kismata,किस्मत
maalaa,माला
saamna,सामना
wasa,वसा
jubaan,जान
kitte,कितते
bhuulega,भूलेगा
gunagunaayenge,गुनगुनाएंगे
gaaliib,ग़ालीब
jagegi,जगेगी
kahetey,कहते
muskaraaye,मुस्कराये
jiite,जीते
kankad,कंकड़
chakr,चक्र
doo,दोओ
sehra,सहरा
jaapaan,जापान
bhole,बोले
sanwarti,संवरती
muzhe,मुझे
bhaalu,भालू
aappe,आप्पे
kamriya,कमरिया
mitaade,मितादे
bunake,बुनके
uljhi,उलझी
payaalaa,प्याला
zaalim,ज़ालिम
sahit,सहित
tadpaanewaale,तड़पानेवाले
nisaar,निसार
chub,चुभ
paayein,पाएँ
buton,बुतों
chakaraaya,चकराया
hamsafar,हमसफ़र
bemol,बेमोल
kehne,कहने
nivarya,निवार्या
dulhaniyaa,दुल्हनिया
badan,बदन
bichar,बिछड़
bartan,बर्तन
uthaye,उठाये
yaaram,यारम
barabaad,बरबाद
chahoon,चाहूँ
dikhalaata,दिखलाता
ghabraiye,घबराइये
panautiyon,पनौतियों
chadhta,चढ़ता
jagmagati,जगमगाती
sundarataa,सुंदरता
piyu,पीयू
guzara,गुज़रा
premaka,प्रेमका
saade,सादे
siya,सिया
jana,जाना
tukda,टुकड़ा
tez,तेज
rahungee,रहूँगी
dekhengey,देखेंगे
saaiyad,सैयाद
kundan,कुन्दन
afasos,अफ़सोस
safen,सफ़ें
humhare,हमारे
baliye,बलिए
pesh,पेश
baiti,बैठी
dahakaa,दहका
gavaahii,गवाही
biba,बीबा
amuvaa,अमुवा
mukut,मुकुट
majila,मझीला
chupana,चुपाना
ghabaraavat,घबरावत
ashaaon,अशाओं
il,इल
bisaraaya,बिसराया
mitra,मितरा
chaaro,चारो
chamakta,चमकता
dhadkta,धड़कता
mehndi,मेहन्दी
dvaara,द्वारा
payaam,पयाम
maanon,मानों
pate,पते
dikhane,दिखाने
mangun,मांगूं
muniyon,मुनियों
batlaaye,बतलाए
par,प्यार
jaaun,जाऊँ
sookh,सूख
baaz,बाज
bala,बाला
sitaaram,सितारम
dilnashi,दिलनशी
jhuuthon,झूठों
ghabaraane,घबराने
priitam,प्रीतम
kahee,कहीं
sidhe,सीधे
banaaenge,बनाएंगे
padhe,पढ़े
tiira,तीर
dastane,दास्तानें
chyuunti,च्यूँटी
naachenge,नाचेंगे
chhuo,छुओ
sochne,सोचने
tadapataa,तड़पता
nindasi,निन्दसि
hariyal,हरियल
libasme,लिबास्मे
jind,जिन्द
andhon,अन्धों
daag,दाग़
dukhan,दुखन
chheda,छेड़ा
musakaate,मुसकाते
chashme,चश्मे
aasra,आसरा
chhupaye,छुपाये
siye,सिये
kanhaiyaa,कन्हैया
shiriiman,शिरीमन
nikhaarake,निखारके
aasaar,आसार
bhangra,भंगरा
taqadiron,तक़दीरों
malaai,मलाइ
lagaa,लगा
pat,पट
aakaah,आकाह
sakuungii,सकूंगी
lagaaii,लगाई
bichhadi,बिछड़ी
raaho,राहों
leg,लेग
suna,सूना
bahaayenge,बहाएँगे
wahaa,वहाँ
kukuk,कुकुक
yai,याई
kwaabon,ख़्वाबों
jihuva,जिहुवा
jogii,जोगी
jhulasane,झुलसने
jholiyon,झोलियों
baadshaah,बाद्शाह
anaathon,अनाथों
anju,अंजू
bujurgon,बुजुर्गों
dewaar,दीवार
jagaae,जगाए
girahagiir,गिरहगीर
beevi,बीवी
masalte,मसलते
dariiche,दरीचे
