bierbichler,бирбихлер
berglas,берглас
lafcadio,лафкадио
muhl,мюль
musculus,мускулус
varfolomeevič,варфоломеевич
mielichhofer,милихгофер
gaughan,гуган
kabeya,кабэя
lavant,лавант
karch,карч
jernej,йерней
florêncio,флоренсио
smoleński,смоленьский
wacho,вахо
mummert,мумерт
wolfdietrich,вольфдитрих
kanakuri,канагури
rasenjin,расэндзин
kyūki,кюки
trocchi,трокки
takanohana,таканохана
toia,тойа
dublin,даблин
culture,культуре
tepe,тепе
beit,бейт
rigaudeau,ригодо
fornaciari,форначьяри
gelek,гелек
nikoladze,николадзе
marsicano,марсикано
rovère,ровер
montpensier,монпансье
bargmann,баргманн
tolhoek,толхук
buhee,тодороки
neno,нено
jorgačević,йоргачевич
hörmann,хёрман
vajfert,вайферт
nyein,ньейн
dawn,доун
zalkalns,залькалнс
nicolucci,николаччи
condlae,кондла
galdino,гальдино
christiane,кристиана
vishnevsky,вишневский
deion,дион
nagito,нагито
teer,тир
kurotsubo,куроцубо
kubelyan,кубелян
lot,лот
harvise,овиза
ribnikar,рибникар
guendouz,гендуз
asendorpf,азендорпф
arm,арм
hervaeus,гервей
pap,пап
nabievich,набиевич
kurose,куросэ
aquerreta,акеррета
wirzberger,вирцбергер
igbinadolor,игбинадолор
chongzhi,чунчжи
lindenburger,линденбургер
reyman,рейман
kristijan,кристиян
shavelson,шэвелсон
shifrin,шифрин
iwatomo,иватомо
shaoqi,шаоци
vladić,владич
nest,нест
kleinheisler,кляйнхайслер
gebhart,гебхарт
kyōji,кёдзи
loerke,лёрке
atxaga,ачага
nighbor,найбор
konagawa,конагава
vomáčka,вомачка
virumbrales,вирумбралес
dadiani,дадиани
buriani,буриани
dugonics,дугоникс
escoda,эскода
marchand,маршан
sabicas,сабикас
hellens,элленс
trinidad,тринидад
khayu,иуха
zarzycki,зажицкий
fukuryūdake,фукурюдакэ
charalampus,харалампий
nelofer,нелофер
spadafora,спадафора
murgo,мурго
ceretic,керетик
haieff,хаев
leuris,леурис
konan,конан
mormeck,мормек
mikitaka,микитака
vítězslav,витезслав
shōen,сёэн
herold,херольд
escandil,эскандиль
jaloliddin,джалолиддин
louvain,лувен
massad,массад
greg,грег
maharaj,махарадж
rydberg,ридберг
balitsch,балич
hīroa,хироа
butterworth,баттерворф
bjanka,бьянка
supervía,супервиа
walas,уолас
haridasa,харидаса
diakun,дьякун
takekunikoriwake,такэкуникоривакэ
mikołajewska,миколаевска
veillon,вейлон
darijo,дарио
slobodkin,слободкин
volska,вольска
stepakoff,степакофф
alegue,алег
guit,гюи
beyen,бейен
kovalenko,коваленко
jeayes,джейес
ceruti,черути
balczó,бальцо
tavor,тавор
donyoh,доньё
barati,барати
noskowski,носковский
karroubi,карруби
koshōken,фурукава
assadullah,асадулла
kottila,коттила
saisui,саисуи
tsegay,цегай
yasujima,ясудзима
ikemura,икэмура
abdulhadi,абдулхади
caelimontanus,целиомонтан
gragnani,граньяни
alemannus,немецкий
anastopoulos,анастопулос
nobuto,нобуто
vaumartoise,вомартуаз
benarbia,бенарбиа
crashaw,крэшо
craveri,кравери
sambueza,самбуэса
seguí,сеги
whalin,уолин
kiroku,кироку
backhausen,бакхаусен
kashiki,касики
husén,хюсен
serada,сэрада
ryukichi,рёкити
yorn,йорн
neritan,неритан
szamotuły,шамотул
lankutis,ланкутис
rexhepi,реджепи
alberdi,альберди
dafinoiu,дафиною
igaya,игая
kotane,котане
marthod,марто
asan,асан
bilher,билюер
chikukei,тикукэи
springsteen,спрингстин
jien,дзиэн
dovydaitis,довидайтис
weight,уэйт
anseele,ансееле
holkar,бай
chioka,тиока
targan,тарган
mazariegos,масарьегос
cravero,краверо
tigerstedt,тигерстедт
rhoda,рода
plia,плия
morys,морис
aergol,айргол
jamnik,ямник
kuzui,кузуи
przysiężny,пшисенжний
fitzherbert,фицгерберт
tsunetomi,цунэтоми
sanrindō,санриндо
hermandsen,хермандсен
csernai,чернаи
badudu,бадуду
shekari,шекари
jukki,дзюкки
giske,гиске
mateja,матея
tanita,танита
valcroze,валькроз
larrakoetxea,ларракоэчеа
kerr,керр
garewal,гаревал
lom,лом
hvidman,видман
balayan,балаян
kadmos,кадмос
mccully,маккалли
malet,мале
treviso,анконы
perdisa,пердиза
kopilov,копылов
defferre,дефер
baun,баун
ausiàs,аузиас
bajpai,баджпаи
shamsaei,шамсаи
hanafiyyah,ханафия
janne,янне
feiglin,фейглин
lévêque,сулук
harnaj,харнаж
bukontas,буконтас
yatsuki,яцуки
d'alatri,д'алатри
cordus,кордус
tormis,тормис
turoff,турофф
arnesen,арнесен
fragapane,фрагапане
netjerkare,нечерикара
elorza,элорса
bergquist,бергквист
fuchimoto,футимото
kamiwazumi,камивадзуми
hürrem,хюррем
ettore,этторе
kanko,канко
bartolucci,бартолуччи
dushev,душев
weikl,вайкль
robbia,роббиа
gocić,гоцич
mariella,мариэлла
vachani,вачани
jaílson,жаилсун
lama,лама
chwalek,хвалек
vermandois,вермандуа
brereton,бреретон
fortino,фортино
okutomo,окутомо
bagley,бэгли
tarancı,таранджы
gresser,грессер
seyni,сейни
muadh,муаз
koenen,кёнен
albie,элби
hanyunyū,ханюню
sabiston,сэбистон
sarcos,саркос
kathlyn,кэтлин
hänsel,хенсель
grammer,грэммер
tozer,тозер
isidra,исидра
lamble,лэмбл
cartheuser,картхойзер
armik,армик
matsuoka,мацуока
hulin,юлен
wildung,вильдунг
okuro,окуро
bruhns,брунс
virendra,вирендер
aonami,аонами
irisawa,ирисава
kōjun,кодзюн
lazarus,лазарус
d'eynsham,д’эйншем
lob,лоб
isoko,исоко
petrașcu,петрашку
mikage,микагэ
manuchar,манучар
zafón,сафон
perucho,перучо
mahri,мехри
kajinaga,кадзинага
parpetsi,парпеци
tkatchenko,ткаченко
dwier,дуайр
dr.,доктор
lupașcu,лупашку
czermak,чермак
sprengers,спренгерс
eremina,еремина
bernadette,бернадетт
genuci,генуций
shafei,шафеи
eutiquio,эутикио
bruevich,бруевич
shapcott,шапкотт
bonita,бонита
victorina,викторина
bassong,бассонг
mink,минк
suavi,суави
rosenblum,розенблюм
sele,зеле
mcghee,макги
namino,намино
cardiel,кардиель
tamayo,тамайо
bodnia,бодниа
bönsch,бёнш
anthonioz,антоньоз
katzenstein,катценштейн
podivinsky,подивински
şadiye,шадие
cyrill,цирил
lepori,лепорий
lesik,лесик
custodi,кустоди
dusenberry,дьюзенберри
grévill,гревиль
canuleius,канулей
urmo,урмо
deepak,дипак
tulio,тулио
fusako,фусако
gomola,гомола
martet,мартет
fédorovski,федоровский
taine,тэн
gatt,гатт
hounsou,хонсу
orime,оримэ
kljuykov,клюйков
heckscher,хекшер
rashōmon,цунагоро
barnet,барнет
romøren,ромёрен
tiedt,тидт
gazidis,газидис
daimu,го
stryjas,стрыяс
hibiku,хибику
coito,които
yasumaru,ясумару
vronsky,вронски
pandro,пандро
